Epoch 0: MAE=0.5045, Val_MAE=0.1711
Epoch 1: MAE=0.3605, Val_MAE=0.0635
Epoch 2: MAE=0.3085, Val_MAE=0.0463
Epoch 3: MAE=0.2661, Val_MAE=0.0373
Epoch 4: MAE=0.2308, Val_MAE=0.0306
Epoch 5: MAE=0.1991, Val_MAE=0.0268
Epoch 6: MAE=0.1710, Val_MAE=0.0206
Epoch 7: MAE=0.1451, Val_MAE=0.0179
Epoch 8: MAE=0.1223, Val_MAE=0.0152
Epoch 9: MAE=0.1024, Val_MAE=0.0143
Epoch 10: MAE=0.0846, Val_MAE=0.0131
Epoch 11: MAE=0.0700, Val_MAE=0.0121
Epoch 12: MAE=0.0580, Val_MAE=0.0120
Epoch 13: MAE=0.0489, Val_MAE=0.0119
Epoch 14: MAE=0.0421, Val_MAE=0.0122
Epoch 15: MAE=0.0373, Val_MAE=0.0130
Epoch 16: MAE=0.0340, Val_MAE=0.0129
Epoch 17: MAE=0.0316, Val_MAE=0.0125
Epoch 18: MAE=0.0299, Val_MAE=0.0120
Epoch 19: MAE=0.0287, Val_MAE=0.0119
Epoch 20: MAE=0.0275, Val_MAE=0.0114
Epoch 21: MAE=0.0267, Val_MAE=0.0115
Epoch 22: MAE=0.0260, Val_MAE=0.0110
Epoch 23: MAE=0.0253, Val_MAE=0.0109
Epoch 24: MAE=0.0247, Val_MAE=0.0109
Epoch 25: MAE=0.0242, Val_MAE=0.0103
Epoch 26: MAE=0.0237, Val_MAE=0.0102
Epoch 27: MAE=0.0232, Val_MAE=0.0100
Epoch 28: MAE=0.0228, Val_MAE=0.0098
Epoch 29: MAE=0.0224, Val_MAE=0.0105
Epoch 30: MAE=0.0220, Val_MAE=0.0114
Epoch 31: MAE=0.0216, Val_MAE=0.0107
Epoch 32: MAE=0.0213, Val_MAE=0.0113
Epoch 33: MAE=0.0209, Val_MAE=0.0124
Epoch 34: MAE=0.0206, Val_MAE=0.0120
Epoch 35: MAE=0.0203, Val_MAE=0.0125
Epoch 36: MAE=0.0200, Val_MAE=0.0128
Epoch 37: MAE=0.0197, Val_MAE=0.0132
Epoch 38: MAE=0.0194, Val_MAE=0.0130
Epoch 39: MAE=0.0191, Val_MAE=0.0135
Epoch 40: MAE=0.0189, Val_MAE=0.0137
Epoch 41: MAE=0.0186, Val_MAE=0.0139
Epoch 42: MAE=0.0184, Val_MAE=0.0137
Epoch 43: MAE=0.0182, Val_MAE=0.0131
