Epoch 0: MAE=0.6600, Val_MAE=0.1533
Epoch 1: MAE=0.5163, Val_MAE=0.0825
Epoch 0: MAE=1.4303, Val_MAE=0.4387
Epoch 1: MAE=1.3801, Val_MAE=0.4163
Epoch 0: MAE=0.3676, Val_MAE=0.3183
Epoch 1: MAE=0.1999, Val_MAE=0.1711
Epoch 0: MAE=0.3340, Val_MAE=0.0794
Epoch 1: MAE=0.1385, Val_MAE=0.0232
Epoch 0: MAE=1.0682, Val_MAE=0.1191
Epoch 1: MAE=0.8763, Val_MAE=0.2609
Epoch 0: MAE=0.4688, Val_MAE=0.0834
Epoch 1: MAE=0.3439, Val_MAE=0.0468
Epoch 0: MAE=0.5518, Val_MAE=0.0787
Epoch 1: MAE=0.3857, Val_MAE=0.0709
Epoch 0: MAE=0.7773, Val_MAE=0.1438
Epoch 1: MAE=0.6312, Val_MAE=0.0546
Epoch 0: MAE=0.5752, Val_MAE=0.1080
Epoch 1: MAE=0.2097, Val_MAE=0.1105
Epoch 0: MAE=0.2519, Val_MAE=0.1362
Epoch 1: MAE=0.0795, Val_MAE=0.0704
Epoch 0: MAE=0.4107, Val_MAE=0.1490
Epoch 1: MAE=0.0973, Val_MAE=0.1003
Epoch 0: MAE=0.6980, Val_MAE=0.1796
Epoch 1: MAE=0.5539, Val_MAE=0.0810
Epoch 0: MAE=1.0287, Val_MAE=0.2940
Epoch 1: MAE=0.6351, Val_MAE=0.1307
Epoch 0: MAE=0.5975, Val_MAE=0.1103
Epoch 1: MAE=0.2773, Val_MAE=0.0459
Epoch 0: MAE=0.0675, Val_MAE=0.0757
Epoch 1: MAE=0.0409, Val_MAE=0.0331
Epoch 0: MAE=0.6731, Val_MAE=0.1227
Epoch 1: MAE=0.5192, Val_MAE=0.1214
Epoch 0: MAE=0.6109, Val_MAE=0.0983
Epoch 1: MAE=0.4859, Val_MAE=0.1009
Epoch 0: MAE=0.5289, Val_MAE=0.1616
Epoch 1: MAE=0.3263, Val_MAE=0.0784
Epoch 0: MAE=0.0943, Val_MAE=0.3856
Epoch 1: MAE=0.0422, Val_MAE=0.1152
Epoch 0: MAE=0.0790, Val_MAE=0.2554
Epoch 1: MAE=0.0474, Val_MAE=0.0524
Epoch 0: MAE=0.1132, Val_MAE=0.2272
Epoch 1: MAE=0.0516, Val_MAE=0.0649
Epoch 0: MAE=0.6786, Val_MAE=0.1849
Epoch 1: MAE=0.5236, Val_MAE=0.0714
Epoch 0: MAE=0.5695, Val_MAE=0.1547
Epoch 1: MAE=0.3418, Val_MAE=0.0522
Epoch 0: MAE=0.4417, Val_MAE=0.2260
Epoch 1: MAE=0.2042, Val_MAE=0.1356
Epoch 0: MAE=0.6177, Val_MAE=0.0710
Epoch 1: MAE=0.2754, Val_MAE=0.0319
Epoch 0: MAE=0.6048, Val_MAE=0.2309
Epoch 1: MAE=0.4464, Val_MAE=0.0796
Epoch 0: MAE=0.4098, Val_MAE=0.0768
Epoch 1: MAE=0.1248, Val_MAE=0.0243
Epoch 0: MAE=0.1189, Val_MAE=0.4356
Epoch 1: MAE=0.0743, Val_MAE=0.0952
Epoch 0: MAE=0.9062, Val_MAE=0.1546
Epoch 1: MAE=0.7070, Val_MAE=0.1338
Epoch 0: MAE=0.1753, Val_MAE=0.3144
Epoch 1: MAE=0.0690, Val_MAE=0.0864
Epoch 0: MAE=0.2134, Val_MAE=0.0514
Epoch 1: MAE=0.0764, Val_MAE=0.0635
Epoch 0: MAE=0.0752, Val_MAE=0.3108
Epoch 1: MAE=0.0474, Val_MAE=0.0985
Epoch 0: MAE=0.0813, Val_MAE=0.1742
Epoch 1: MAE=0.0421, Val_MAE=0.0388
Epoch 0: MAE=0.0689, Val_MAE=0.1552
Epoch 1: MAE=0.0365, Val_MAE=0.0416
Epoch 2: MAE=0.0708, Val_MAE=0.0234
Epoch 3: MAE=0.0402, Val_MAE=0.0181
Epoch 4: MAE=0.0358, Val_MAE=0.0205
Epoch 5: MAE=0.0345, Val_MAE=0.0212
Epoch 2: MAE=0.0501, Val_MAE=0.0156
Epoch 3: MAE=0.0369, Val_MAE=0.0146
Epoch 4: MAE=0.0335, Val_MAE=0.0238
Epoch 5: MAE=0.0316, Val_MAE=0.0231
Epoch 2: MAE=0.1069, Val_MAE=0.0526
Epoch 3: MAE=0.0709, Val_MAE=0.0819
Epoch 4: MAE=0.0641, Val_MAE=0.0779
Epoch 5: MAE=0.0607, Val_MAE=0.0584
Epoch 2: MAE=0.0418, Val_MAE=0.0396
Epoch 3: MAE=0.0369, Val_MAE=0.0238
Epoch 4: MAE=0.0340, Val_MAE=0.0172
Epoch 5: MAE=0.0321, Val_MAE=0.0148
Epoch 2: MAE=0.0394, Val_MAE=0.0274
Epoch 3: MAE=0.0345, Val_MAE=0.0241
Epoch 4: MAE=0.0315, Val_MAE=0.0226
Epoch 5: MAE=0.0293, Val_MAE=0.0216
Epoch 2: MAE=0.0443, Val_MAE=0.0397
Epoch 3: MAE=0.0334, Val_MAE=0.0378
Epoch 4: MAE=0.0310, Val_MAE=0.0363
Epoch 5: MAE=0.0283, Val_MAE=0.0412
Epoch 2: MAE=0.1770, Val_MAE=0.0465
Epoch 3: MAE=0.1425, Val_MAE=0.0461
Epoch 4: MAE=0.1289, Val_MAE=0.0428
Epoch 5: MAE=0.1215, Val_MAE=0.0400
Epoch 2: MAE=0.2848, Val_MAE=0.0292
Epoch 3: MAE=0.2370, Val_MAE=0.0276
Epoch 4: MAE=0.1965, Val_MAE=0.0260
Epoch 5: MAE=0.1599, Val_MAE=0.0212
Epoch 2: MAE=0.0841, Val_MAE=0.1324
Epoch 3: MAE=0.0756, Val_MAE=0.1602
Epoch 4: MAE=0.0711, Val_MAE=0.1623
Epoch 5: MAE=0.0668, Val_MAE=0.1150
Epoch 2: MAE=0.2035, Val_MAE=0.0259
Epoch 0: MAE=0.1944, Val_MAE=0.1025
Epoch 1: MAE=0.0692, Val_MAE=0.0358
Epoch 0: MAE=0.1972, Val_MAE=0.1738
Epoch 1: MAE=0.0467, Val_MAE=0.0636
Epoch 0: MAE=0.3917, Val_MAE=0.0913
Epoch 1: MAE=0.1017, Val_MAE=0.0350
Epoch 0: MAE=0.2303, Val_MAE=0.2258
Epoch 1: MAE=0.1194, Val_MAE=0.9089
Epoch 0: MAE=0.7502, Val_MAE=0.0936
Epoch 1: MAE=0.5804, Val_MAE=0.0885
Epoch 0: MAE=0.8196, Val_MAE=0.1774
Epoch 1: MAE=0.2987, Val_MAE=0.1777
Epoch 0: MAE=1.2502, Val_MAE=0.2905
Epoch 1: MAE=1.1699, Val_MAE=0.2530
Epoch 0: MAE=0.0764, Val_MAE=0.3614
Epoch 1: MAE=0.0396, Val_MAE=0.0940
Epoch 0: MAE=0.7929, Val_MAE=0.1848
Epoch 1: MAE=0.6272, Val_MAE=0.1367
Epoch 0: MAE=0.1742, Val_MAE=0.1100
Epoch 1: MAE=0.0439, Val_MAE=0.0324
Epoch 0: MAE=0.2122, Val_MAE=0.1857
Epoch 1: MAE=0.0403, Val_MAE=0.1734
Epoch 0: MAE=0.4013, Val_MAE=0.0570
Epoch 1: MAE=0.0888, Val_MAE=0.0259
Epoch 0: MAE=0.1956, Val_MAE=0.1452
Epoch 1: MAE=0.0765, Val_MAE=0.0353
Epoch 0: MAE=0.4281, Val_MAE=0.1683
Epoch 1: MAE=0.2266, Val_MAE=0.0479
Epoch 0: MAE=0.5302, Val_MAE=0.1722
Epoch 1: MAE=0.3679, Val_MAE=0.0677
Epoch 0: MAE=0.5981, Val_MAE=0.1311
Epoch 1: MAE=0.2266, Val_MAE=0.0773
Epoch 0: MAE=0.5370, Val_MAE=0.0794
Epoch 1: MAE=0.3264, Val_MAE=0.0395
Epoch 0: MAE=0.5200, Val_MAE=0.1395
Epoch 1: MAE=0.2569, Val_MAE=0.0806
Epoch 0: MAE=0.6150, Val_MAE=0.3054
Epoch 1: MAE=0.2476, Val_MAE=0.1376
Epoch 0: MAE=0.1010, Val_MAE=0.2260
Epoch 1: MAE=0.0433, Val_MAE=0.0838
Epoch 0: MAE=1.0836, Val_MAE=0.1470
Epoch 1: MAE=0.8092, Val_MAE=0.1143
Epoch 0: MAE=0.3873, Val_MAE=0.0958
Epoch 1: MAE=0.0713, Val_MAE=0.0191
Epoch 0: MAE=0.7937, Val_MAE=0.2024
Epoch 1: MAE=0.5669, Val_MAE=0.1679
Epoch 0: MAE=0.0774, Val_MAE=0.1437
Epoch 1: MAE=0.0544, Val_MAE=0.0409
Epoch 0: MAE=0.3262, Val_MAE=0.1196
Epoch 1: MAE=0.1174, Val_MAE=0.0584
Epoch 0: MAE=0.6508, Val_MAE=0.0597
Epoch 1: MAE=0.5165, Val_MAE=0.1139
Epoch 0: MAE=1.4360, Val_MAE=0.6657
Epoch 1: MAE=1.3966, Val_MAE=0.7570
Epoch 0: MAE=0.8341, Val_MAE=0.0867
Epoch 1: MAE=0.5598, Val_MAE=0.0359
Epoch 0: MAE=0.3810, Val_MAE=0.1465
Epoch 1: MAE=0.2320, Val_MAE=0.0605
Epoch 0: MAE=0.2514, Val_MAE=0.3701
Epoch 1: MAE=0.1099, Val_MAE=0.0999
Epoch 0: MAE=0.6112, Val_MAE=0.3777
Epoch 1: MAE=0.4518, Val_MAE=0.1543
Epoch 0: MAE=0.2714, Val_MAE=0.1094
Epoch 1: MAE=0.1286, Val_MAE=0.0410
Epoch 0: MAE=0.1929, Val_MAE=0.1849
Epoch 1: MAE=0.0398, Val_MAE=0.1633
Epoch 0: MAE=0.9255, Val_MAE=0.1862
Epoch 1: MAE=0.7743, Val_MAE=0.1296
Epoch 2: MAE=0.0485, Val_MAE=0.0148
Epoch 3: MAE=0.0421, Val_MAE=0.0188
Epoch 4: MAE=0.0412, Val_MAE=0.0175
Epoch 5: MAE=0.0401, Val_MAE=0.0222
Epoch 2: MAE=0.0784, Val_MAE=0.0267
Epoch 3: MAE=0.0736, Val_MAE=0.0271
Epoch 4: MAE=0.0708, Val_MAE=0.0254
Epoch 5: MAE=0.0687, Val_MAE=0.0298
Epoch 2: MAE=0.0453, Val_MAE=0.0766
Epoch 3: MAE=0.0336, Val_MAE=0.0718
Epoch 4: MAE=0.0308, Val_MAE=0.0321
Epoch 5: MAE=0.0290, Val_MAE=0.0215
Epoch 2: MAE=0.0399, Val_MAE=0.1521
Epoch 3: MAE=0.0294, Val_MAE=0.0875
Epoch 4: MAE=0.0277, Val_MAE=0.0249
Epoch 5: MAE=0.0268, Val_MAE=0.0216
Epoch 2: MAE=0.0700, Val_MAE=0.0300
Epoch 3: MAE=0.0659, Val_MAE=0.0314
Epoch 4: MAE=0.0632, Val_MAE=0.0289
Epoch 5: MAE=0.0612, Val_MAE=0.0290
Epoch 2: MAE=0.0509, Val_MAE=0.1147
Epoch 3: MAE=0.0433, Val_MAE=0.0663
Epoch 4: MAE=0.0396, Val_MAE=0.0290
Epoch 5: MAE=0.0385, Val_MAE=0.0200
Epoch 2: MAE=0.3390, Val_MAE=0.0301
Epoch 3: MAE=0.1828, Val_MAE=0.0320
Epoch 4: MAE=0.1148, Val_MAE=0.0244
Epoch 5: MAE=0.0901, Val_MAE=0.0220
Epoch 2: MAE=0.1844, Val_MAE=0.0333
Epoch 3: MAE=0.0985, Val_MAE=0.0382
Epoch 4: MAE=0.0723, Val_MAE=0.0368
Epoch 5: MAE=0.0659, Val_MAE=0.0370
Epoch 2: MAE=0.0527, Val_MAE=0.0218
Epoch 3: MAE=0.0491, Val_MAE=0.0174
Epoch 4: MAE=0.0431, Val_MAE=0.0167
Epoch 5: MAE=0.0412, Val_MAE=0.0166
Epoch 2: MAE=0.1177, Val_MAE=0.0396
Epoch 3: MAE=0.1106, Val_MAE=0.0376
Epoch 4: MAE=0.1061, Val_MAE=0.0374
Epoch 5: MAE=0.1025, Val_MAE=0.0373
Epoch 2: MAE=0.1487, Val_MAE=0.0247
Epoch 3: MAE=0.1058, Val_MAE=0.0204
Epoch 4: MAE=0.0824, Val_MAE=0.0196
Epoch 5: MAE=0.0698, Val_MAE=0.0198
Epoch 2: MAE=0.1077, Val_MAE=0.0444
Epoch 3: MAE=0.1014, Val_MAE=0.0400
Epoch 4: MAE=0.0969, Val_MAE=0.0366
Epoch 5: MAE=0.0931, Val_MAE=0.0347
Epoch 6: MAE=0.0426, Val_MAE=0.0213
Epoch 7: MAE=0.0413, Val_MAE=0.0175
Epoch 8: MAE=0.0402, Val_MAE=0.0183
Epoch 9: MAE=0.0390, Val_MAE=0.0203
Epoch 10: MAE=0.0377, Val_MAE=0.0244
Epoch 11: MAE=0.0355, Val_MAE=0.0297
Epoch 12: MAE=0.0336, Val_MAE=0.0269
Epoch 6: MAE=0.0409, Val_MAE=0.0307
Epoch 7: MAE=0.0409, Val_MAE=0.0180
Epoch 8: MAE=0.0392, Val_MAE=0.0177
Epoch 9: MAE=0.0371, Val_MAE=0.0177
Epoch 10: MAE=0.0365, Val_MAE=0.0183
Epoch 11: MAE=0.0353, Val_MAE=0.0150
Epoch 12: MAE=0.0353, Val_MAE=0.0172
Epoch 13: MAE=0.0346, Val_MAE=0.0246
Epoch 14: MAE=0.0344, Val_MAE=0.0232
Epoch 15: MAE=0.0345, Val_MAE=0.0143
Epoch 16: MAE=0.0342, Val_MAE=0.0126
Epoch 6: MAE=0.0699, Val_MAE=0.0191
Epoch 7: MAE=0.0629, Val_MAE=0.0192
Epoch 8: MAE=0.0589, Val_MAE=0.0192
Epoch 9: MAE=0.0564, Val_MAE=0.0192
Epoch 10: MAE=0.0546, Val_MAE=0.0190
Epoch 11: MAE=0.0532, Val_MAE=0.0187
Epoch 6: MAE=0.0379, Val_MAE=0.0239
Epoch 7: MAE=0.0373, Val_MAE=0.0196
Epoch 8: MAE=0.0370, Val_MAE=0.0207
Epoch 9: MAE=0.0369, Val_MAE=0.0211
Epoch 10: MAE=0.0367, Val_MAE=0.0170
Epoch 11: MAE=0.0367, Val_MAE=0.0230
Epoch 12: MAE=0.0365, Val_MAE=0.0213
Epoch 13: MAE=0.0366, Val_MAE=0.0209
Epoch 14: MAE=0.0365, Val_MAE=0.0184
Epoch 15: MAE=0.0364, Val_MAE=0.0182
Epoch 17: MAE=0.0326, Val_MAE=0.0206
Epoch 18: MAE=0.0334, Val_MAE=0.0187
Epoch 19: MAE=0.0341, Val_MAE=0.0135
Epoch 20: MAE=0.0327, Val_MAE=0.0192
Epoch 21: MAE=0.0325, Val_MAE=0.0195
Epoch 22: MAE=0.0351, Val_MAE=0.0154
Epoch 23: MAE=0.0293, Val_MAE=0.0379
Epoch 24: MAE=0.0360, Val_MAE=0.0432
Epoch 17: MAE=0.0370, Val_MAE=0.0248
Epoch 18: MAE=0.0365, Val_MAE=0.0181
Epoch 19: MAE=0.0365, Val_MAE=0.0188
Epoch 20: MAE=0.0365, Val_MAE=0.0203
Epoch 21: MAE=0.0368, Val_MAE=0.0191
Epoch 22: MAE=0.0365, Val_MAE=0.0184
Epoch 23: MAE=0.0367, Val_MAE=0.0252
Epoch 0: MAE=0.0938, Val_MAE=0.2859
Epoch 1: MAE=0.0527, Val_MAE=0.0465
Epoch 2: MAE=0.0444, Val_MAE=0.0365
Epoch 3: MAE=0.0393, Val_MAE=0.0331
Epoch 4: MAE=0.0357, Val_MAE=0.0302
Epoch 5: MAE=0.0332, Val_MAE=0.0279
Epoch 0: MAE=0.7266, Val_MAE=0.1594
Epoch 1: MAE=0.5601, Val_MAE=0.0701
Epoch 2: MAE=0.4828, Val_MAE=0.0565
Epoch 3: MAE=0.4299, Val_MAE=0.0476
Epoch 4: MAE=0.3849, Val_MAE=0.0407
Epoch 5: MAE=0.3463, Val_MAE=0.0339
Epoch 0: MAE=1.1840, Val_MAE=0.2438
Epoch 1: MAE=0.9481, Val_MAE=0.2023
Epoch 2: MAE=0.8178, Val_MAE=0.1749
Epoch 3: MAE=0.7113, Val_MAE=0.1505
Epoch 4: MAE=0.6219, Val_MAE=0.1275
Epoch 5: MAE=0.5440, Val_MAE=0.1082
Epoch 0: MAE=0.4193, Val_MAE=0.2134
Epoch 1: MAE=0.1818, Val_MAE=0.0668
Epoch 2: MAE=0.1676, Val_MAE=0.1932
Epoch 3: MAE=0.1593, Val_MAE=0.1275
Epoch 4: MAE=0.1507, Val_MAE=0.1832
Epoch 5: MAE=0.1428, Val_MAE=0.0819
Epoch 0: MAE=0.6213, Val_MAE=0.1265
Epoch 1: MAE=0.1799, Val_MAE=0.0907
Epoch 2: MAE=0.1445, Val_MAE=0.0841
Epoch 3: MAE=0.1397, Val_MAE=0.0783
Epoch 4: MAE=0.1357, Val_MAE=0.0722
Epoch 5: MAE=0.1324, Val_MAE=0.0673
Epoch 0: MAE=0.4083, Val_MAE=0.1515
Epoch 1: MAE=0.1062, Val_MAE=0.0373
Epoch 2: MAE=0.0847, Val_MAE=0.0297
Epoch 3: MAE=0.0783, Val_MAE=0.0292
Epoch 4: MAE=0.0740, Val_MAE=0.0297
Epoch 5: MAE=0.0707, Val_MAE=0.0292
Epoch 0: MAE=0.8215, Val_MAE=0.1447
Epoch 1: MAE=0.4474, Val_MAE=0.0685
Epoch 2: MAE=0.2818, Val_MAE=0.0732
Epoch 3: MAE=0.2054, Val_MAE=0.0835
Epoch 4: MAE=0.1731, Val_MAE=0.0889
Epoch 5: MAE=0.1591, Val_MAE=0.0887
Epoch 0: MAE=0.0857, Val_MAE=0.2779
Epoch 1: MAE=0.0594, Val_MAE=0.0701
Epoch 2: MAE=0.0520, Val_MAE=0.0397
Epoch 3: MAE=0.0465, Val_MAE=0.0357
Epoch 4: MAE=0.0431, Val_MAE=0.0310
Epoch 5: MAE=0.0405, Val_MAE=0.0308
Epoch 0: MAE=0.1480, Val_MAE=0.0653
Epoch 1: MAE=0.0657, Val_MAE=0.0700
Epoch 2: MAE=0.0647, Val_MAE=0.0342
Epoch 3: MAE=0.0710, Val_MAE=0.0216
Epoch 4: MAE=0.0361, Val_MAE=0.0321
Epoch 5: MAE=0.0538, Val_MAE=0.0222
Epoch 0: MAE=0.5914, Val_MAE=0.1962
Epoch 1: MAE=0.2788, Val_MAE=0.0475
Epoch 2: MAE=0.1692, Val_MAE=0.0374
Epoch 3: MAE=0.1275, Val_MAE=0.0368
Epoch 4: MAE=0.1118, Val_MAE=0.0362
Epoch 5: MAE=0.1047, Val_MAE=0.0348
Epoch 0: MAE=0.3460, Val_MAE=0.1755
Epoch 1: MAE=0.1765, Val_MAE=0.1797
Epoch 2: MAE=0.1377, Val_MAE=0.1365
Epoch 3: MAE=0.1113, Val_MAE=0.1000
Epoch 4: MAE=0.0887, Val_MAE=0.0850
Epoch 5: MAE=0.0700, Val_MAE=0.0871
Epoch 0: MAE=0.4682, Val_MAE=0.2874
Epoch 1: MAE=0.2672, Val_MAE=0.0928
Epoch 2: MAE=0.1830, Val_MAE=0.0431
Epoch 3: MAE=0.1324, Val_MAE=0.0306
Epoch 4: MAE=0.1005, Val_MAE=0.0263
Epoch 5: MAE=0.0806, Val_MAE=0.0232
Epoch 0: MAE=0.1946, Val_MAE=0.3023
Epoch 1: MAE=0.0859, Val_MAE=0.0871
Epoch 2: MAE=0.0718, Val_MAE=0.0570
Epoch 3: MAE=0.0646, Val_MAE=0.0502
Epoch 4: MAE=0.0600, Val_MAE=0.0456
Epoch 5: MAE=0.0568, Val_MAE=0.0421
Epoch 0: MAE=1.1626, Val_MAE=0.1808
Epoch 1: MAE=0.9761, Val_MAE=0.1189
Epoch 2: MAE=0.9051, Val_MAE=0.1044
Epoch 3: MAE=0.8665, Val_MAE=0.0882
Epoch 4: MAE=0.8304, Val_MAE=0.0817
Epoch 5: MAE=0.7966, Val_MAE=0.0753
Epoch 0: MAE=0.4122, Val_MAE=0.1427
Epoch 1: MAE=0.0838, Val_MAE=0.0677
Epoch 2: MAE=0.0600, Val_MAE=0.0459
Epoch 3: MAE=0.0556, Val_MAE=0.0506
Epoch 4: MAE=0.0541, Val_MAE=0.0584
Epoch 5: MAE=0.0528, Val_MAE=0.0534
Epoch 6: MAE=0.0709, Val_MAE=0.0944
Epoch 7: MAE=0.0789, Val_MAE=0.0404
Epoch 8: MAE=0.0580, Val_MAE=0.0431
Epoch 9: MAE=0.0559, Val_MAE=0.0760
Epoch 10: MAE=0.0650, Val_MAE=0.0457
Epoch 11: MAE=0.0585, Val_MAE=0.0446
Epoch 12: MAE=0.0780, Val_MAE=0.2298
Epoch 6: MAE=0.0681, Val_MAE=0.0218
Epoch 7: MAE=0.0606, Val_MAE=0.0212
Epoch 8: MAE=0.0561, Val_MAE=0.0218
Epoch 9: MAE=0.0534, Val_MAE=0.0212
Epoch 10: MAE=0.0516, Val_MAE=0.0211
Epoch 11: MAE=0.0502, Val_MAE=0.0207
Epoch 12: MAE=0.0493, Val_MAE=0.0204
Epoch 13: MAE=0.0485, Val_MAE=0.0201
Epoch 14: MAE=0.0477, Val_MAE=0.0200
Epoch 15: MAE=0.0471, Val_MAE=0.0199
Epoch 16: MAE=0.0467, Val_MAE=0.0197
Epoch 6: MAE=0.0354, Val_MAE=0.0334
Epoch 7: MAE=0.0311, Val_MAE=0.0275
Epoch 8: MAE=0.0292, Val_MAE=0.0241
Epoch 9: MAE=0.0277, Val_MAE=0.0220
Epoch 10: MAE=0.0265, Val_MAE=0.0209
Epoch 11: MAE=0.0254, Val_MAE=0.0204
Epoch 12: MAE=0.0246, Val_MAE=0.0206
Epoch 13: MAE=0.0238, Val_MAE=0.0202
Epoch 14: MAE=0.0232, Val_MAE=0.0199
Epoch 15: MAE=0.0226, Val_MAE=0.0194
Epoch 16: MAE=0.0220, Val_MAE=0.0187
Epoch 6: MAE=0.0741, Val_MAE=0.0292
Epoch 7: MAE=0.0708, Val_MAE=0.0287
Epoch 8: MAE=0.0685, Val_MAE=0.0283
Epoch 9: MAE=0.0664, Val_MAE=0.0275
Epoch 10: MAE=0.0648, Val_MAE=0.0275
Epoch 11: MAE=0.0632, Val_MAE=0.0272
Epoch 12: MAE=0.0619, Val_MAE=0.0266
Epoch 13: MAE=0.0608, Val_MAE=0.0264
Epoch 14: MAE=0.0598, Val_MAE=0.0258
Epoch 15: MAE=0.0590, Val_MAE=0.0262
Epoch 16: MAE=0.0582, Val_MAE=0.0252
Epoch 6: MAE=0.0457, Val_MAE=0.0403
Epoch 7: MAE=0.0420, Val_MAE=0.0546
Epoch 8: MAE=0.0391, Val_MAE=0.0458
Epoch 9: MAE=0.0355, Val_MAE=0.0392
Epoch 10: MAE=0.0330, Val_MAE=0.0364
Epoch 11: MAE=0.0318, Val_MAE=0.0277
Epoch 12: MAE=0.0306, Val_MAE=0.0315
Epoch 13: MAE=0.0299, Val_MAE=0.0222
Epoch 14: MAE=0.0286, Val_MAE=0.0299
Epoch 15: MAE=0.0281, Val_MAE=0.0225
Epoch 16: MAE=0.0267, Val_MAE=0.0203
Epoch 17: MAE=0.0236, Val_MAE=0.0168
Epoch 18: MAE=0.0212, Val_MAE=0.0187
Epoch 19: MAE=0.0209, Val_MAE=0.0199
Epoch 20: MAE=0.0206, Val_MAE=0.0196
